statement	true	predicted
Building a wall on the U.S.-Mexico border will take literally years.	True	False
Wisconsin is on pace to double the number of layoffs this year.	False	True
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.	True	False
Says Vice President Joe Biden "admits that the American people are being scammed" with the economic stimulus package.	False	True
We know there are more Democrats in Georgia than Republicans. We know that for a fact.	False	True
Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.	False	True
"Each year, 18,000 people die in America because they don't have health care."	True	False
"Ronald Reagan faced an even worse recession" than the current one.	False	True
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.	True	False
Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.	True	False
The number of illegal immigrants could be 3 million. It could be 30 million.	False	True
Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.	True	False
I was gone when there was a red line against Syria.	False	True
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.	False	True
Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.	False	True
On which team hes rooting for in the World Series.	True	False
Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.	True	False
Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.	True	False
Because of the federal health care law, 300,000 health plans canceled in Florida.	False	True
In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.	True	False
