statement	true	predicted
The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.	False	True
Donald Trump says that NATO is obsolete and that we need to get rid of NATO...	False	True
"We haven't built a refinery, I think, in 30 years."	False	True
If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped	True	False
Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.	False	True
A few months ago when you were asked whats the biggest geopolitical threat facing America, you said Russia.	True	False
Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.	False	True
The Obama administration is using as its legal justification for these airstrikes (on the Islamic State), an authorization for military force that the president himself has called for repeal of.	True	False
Says Gov. Mike Pence and Rep. Mike Coffman take the same positions on a number of things... Coffman and Pence oppose equal rights for LGBT Americans.	False	True
Not even expensive bottled water, like Perrier and Evian, are of good enough quality to pump out of mines in Southwest Virginia, according to the EPA regulation.	False	True
170,000 of the jobs created in Texas under Gov. Rick Perry were government jobs.	True	False
Says it probably costs more than $300,000 to run for a seat on the Pedernales Electric Cooperative board of directors.	False	True
Rooting for the Red Sox is like rooting for the drug companies.	True	False
Homicides last year increased by 17 percent in Americas 50 largest cities. Thats the largest increase in 25 years.	True	False
In Pennsylvania, President Barack Obamas policies have increased unemployment 19 percent, led to the loss of 37,900 manufacturing jobs, and left 189,000 more people in poverty.	True	False
To this day, (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives.	True	False
On subsidies for ethanol production.	False	True
The Obama administration gave Iran $400 million in ransom payment cash.	False	True
In many instances, (peoples) health care costs are more than their mortgage costs or their rent, which, by the way, is a first in American history.	False	True
When the union says I want to eliminate tenure, thats not true.	True	False
